id;original_title;popularity;budget;revenue;genres;vote_count;vote_average;tagline;runtime;release_date
1891;The Empire Strikes Back;23.215;18000000;538400000;Adventure|Action|Science Fiction;10434;8.4;The Adventure Continues...;124;1980-05-20
238;The Godfather;31.463;6000000;245066411;Drama|Crime;10925;8.6;An offer you can't refuse.;175;1972-03-14
1367;Rocky II;13.478;7000000;200182160;Drama;2263;7.1;Once he fought for a dream. Now he's fighting for love!;119;1979-06-15
8536;Superman II;14.11;54000000;190458706;Science Fiction|Action|Adventure;1228;6.6;The Man of Steel meets his match!;127;1980-12-04
28;Apocalypse Now;20.126;31500000;150000000;Drama|War;4324;8.2;This is the end...;153;1979-08-15
8469;Animal House;11.201;2700000;141000000;Comedy;822;7.1;It was the Deltas against the rules... the rules lost!;109;1978-07-27
152;Star Trek: The Motion Picture;12.71;35000000;139000000;Science Fiction|Adventure|Mystery;903;6.4;The human adventure is just beginning.;132;1979-12-06
525;The Blues Brothers;17.021;27000000;115229890;Music|Comedy|Action|Crime;2213;7.7;They'll never get caught. They're on a mission from God.;133;1980-06-17
12102;Kramer vs. Kramer;8.421;8000000;106260000;Drama;1074;7.5;There are three sides to this love story;105;1979-12-18
21629;Stir Crazy;9.667;0;101300000;Comedy;208;6.6;Two jailbirds who just want out of the cage.;111;1980-12-12
9659;Mad Max;12.77;400000;100000000;Adventure|Action|Thriller|Science Fiction;2268;6.7;The Maximum Force Of The Future;91;1979-04-12
11449;The Amityville Horror;10.187;0;86432000;Horror;366;6.3;For God's Sake, Get Out!;117;1979-07-26
813;Airplane!;21.175;3500000;83453539;Comedy;2266;7.3;What's slower than a speeding bullet, and able to hit tall buildings at a single bound?;88;1980-07-02
11176;The Muppet Movie;10.171;0;76657000;Music|Adventure|Comedy|Family;275;7.1;More entertaining than humanly possible.;97;1979-05-31
9051;10;9.939;0;74865517;Comedy|Romance;113;5.6;The funniest, sexiest midlife crisis in movie history.;122;1979-10-04
6471;The Jerk;8.883;0;73961419;Comedy;450;7.0;A rags to riches to rags story.;94;1979-12-14
17169;Any Which Way You Can;8.921;0;70687344;Action|Adventure|Comedy;158;6.0;Faster, funnier and wilder. It'll knock you out.;115;1980-12-17
16769;Coal Miner's Daughter;8.77;15000000;67182787;Drama|Music;124;7.2;She was married at 13. She had four kids by the time she was 20. She's been hungry and poor. She's been loved and cheated on. She became a singer because it was the only thing she could do. She became a star because it was the only way she could do it.;125;1980-03-07
12705;Smokey and the Bandit II;7.559;0;66132626;Action|Comedy;136;5.4;The Bandit is back and better than ever!;100;1980-08-15
11145;The Electric Horseman;5.311;0;61801971;Drama|Comedy|Western|Romance;69;6.2;Tell me Norman… did you think it was going to be this tough to get rid of a pain in the ass like me? Ma'am, I had no idea.;122;1979-12-21
8393;The Gods Must Be Crazy;27.462;5000000;60000000;Action|Comedy;487;7.2;The critics are raving... the natives are restless... and the laughter is non-stop!;109;1980-09-10
4488;Friday the 13th;18.011;550000;59754601;Horror;1396;6.3;They were warned...They are doomed...And on Friday the 13th, nothing will save them.;95;1980-05-09
5689;The Blue Lagoon;13.501;4500000;58853106;Romance|Adventure|Drama;924;5.9;A sensuous story of natural love.;104;1980-07-05
923;Dawn of the Dead;10.842;650000;55000000;Horror;1025;7.5;When there’s no more room in hell, the dead will walk the earth.;127;1978-09-02
988;The China Syndrome;9.87;5900000;51718367;Thriller|Drama;192;7.2;Sometimes it’s too late to tell the truth.;122;1979-03-16
694;The Shining;28.484;19000000;44781695;Horror|Thriller;9603;8.2;A masterpiece of modern horror.;144;1980-05-22
28124;Seems Like Old Times;6.735;0;43995918;Comedy|Romance;70;6.5;alone - at last...;102;1980-12-19
13612;Cheech & Chong's Next Movie;7.424;0;41675194;Action|Adventure|Comedy;120;6.1;Just what we all need! A really good hit!;99;1980-07-18
696;Manhattan;9.264;0;39946780;Comedy|Drama|Romance;1260;7.8;;96;1979-04-25
11977;Caddyshack;11.092;6000000;39846344;Comedy;623;6.7;The snobs against the slobs!;98;1980-07-25
19827;The In-Laws;5.45;9000000;38200000;Action|Adventure|Comedy|Mystery;44;7.0;The FIRST Certified Crazy Person's Comedy.;103;1979-06-15
16858;All That Jazz;9.516;0;37823676;Drama;184;7.4;All that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.;123;1979-12-20
17264;The Black Stallion;7.126;2700000;37799643;Adventure|Family;116;7.1;From the moment he first saw the stallion, he knew it would either destroy him, or carry him where no one had ever been before…;118;1979-10-17
1623;Brubaker;15.053;9000000;37121708;Crime|Drama;204;7.2;One man against a cruel system.;125;1980-06-20
9570;The Black Hole;13.164;20000000;35841901;Adventure|Family|Science Fiction|Action;210;5.9;A journey that begins where everything ends!;98;1979-12-18
17443;...And Justice for All;11.093;0;33300000;Crime|Drama|Mystery|Thriller;207;7.1;;119;1979-10-19
11033;Dressed to Kill;11.742;6500000;31899000;Mystery|Thriller|Horror;338;6.8;;105;1980-06-25
11519;1941;10.062;35000000;31755742;Comedy;291;5.8;Paranoia meets pandemonium.;118;1979-12-13
123;The Lord of the Rings;12.289;4000000;30471420;Adventure|Animation|Drama|Fantasy|Family;386;6.5;Fantasy...beyond your imagination;132;1978-11-15
10322;Being There;9.407;0;30177511;Comedy|Drama;442;7.7;Getting there is half the fun, being there is all of it!;130;1979-12-19
16323;The Rose;5.128;9250000;29174648;Drama|Music|Romance;51;6.9;She gave and gave, until she had nothing left to give;125;1979-11-07
3604;Flash Gordon;12.247;35000000;27107960;Science Fiction;445;6.1;He'll save every one of us!;111;1980-09-01
1955;The Elephant Man;10.521;5000000;26010864;Drama|History;1637;8.1;I am not an animal! I am a human being! I … am … a man!;124;1980-10-02
9453;Caligola;16.982;17500000;23438120;Drama|History|Romance;295;5.4;What would you have done if you had been given absolute power of life and death over everybody else in the whole world?;156;1979-01-21
1578;Raging Bull;13.088;18000000;23000000;Drama;2037;7.9;;129;1980-11-14
2768;American Gigolo;9.022;4800000;22743674;Crime|Drama|Romance|Thriller;286;6.0;He's the highest paid lover in Beverly Hills. He leaves women feeling more alive than they've ever felt before. Except one.;117;1980-02-08
11474;The Warriors;10.335;4000000;22490039;Action|Thriller;928;7.6;These are the armies of the night.;93;1979-02-08
21873;My Bodyguard;5.593;0;22482952;Drama|Family;46;6.6;Terrorized in the Toilets? Chased after school? Shaken down for lunch money? GET A BODYGUARD;96;1980-07-11
15668;Xanadu;6.892;20000000;22471595;Fantasy|Music|Romance|Science Fiction;106;5.4;A Fantasy, A Musical, A Place Where Dreams Come True.;96;1980-08-08
790;The Fog;11.808;1000000;21378361;Horror;655;6.6;Lock your doors. Bolt your windows. There's something in THE FOG!;89;1980-02-08
3537;Fame;8.968;0;21202829;Drama|Music;202;6.3;If they've really got what it takes, it's going to take everything they've got.;134;1980-05-16
21376;A Force of One;5.108;0;20200000;Action|Adventure|Crime|Drama|Thriller;37;4.7;He hears the silence. He see's the darkness. He's the only one who can stop the killing.;90;1979-06-01
583;Life of Brian;11.162;4000000;20045115;Comedy;2338;7.8;He wasn't the messiah. He was a very naughty boy.;94;1979-08-17
20283;Breaking Away;8.873;2300000;20000000;Drama|Comedy;127;7.3;The movie that tells you exactly what you can do with your high school diploma!;100;1979-05-24
11542;Altered States;10.115;15000000;19853892;Horror|Science Fiction|Thriller;306;6.7;When he heard his cry for help it wasn't human;102;1980-12-25
24825;The Octagon;6.349;0;18971000;Adventure|Action|Thriller;50;5.0;;104;1980-08-14
49375;Rough Cut;2.501;14000000;16656125;Adventure|Comedy|Crime|Mystery|Romance;15;5.9;They're all gems. But who's the fake?;112;1980-06-19
8738;The Final Countdown;14.44;12000000;16647800;War|Action|Science Fiction;223;6.3;Trapped outside the boundaries of time and space... 102 aircraft... 6,000 men... all missing.;103;1980-01-31
44004;Hero at Large;3.145;0;15934737;Action|Comedy|Drama;20;6.5;Help is on the way!;98;1980-02-08
14729;The Long Riders;8.435;10000000;15795189;Western|History;89;6.7;"All the world likes an outlaw. For some damn reason they remember 'em." - Jesse James;99;1980-05-12
33258;More American Graffiti;4.16;2500000;15014674;Comedy|Drama|War;46;5.2;The sights and sounds of the '60s. There were bittersweet times. There were funny times. And it was all unforgettable.;110;1979-08-03
36599;Prom Night;8.285;1000000;14796236;Horror|Mystery|Thriller;161;5.6;If you're not back by midnight... you won't be coming home!;92;1980-07-18
33076;Wholly Moses;3.475;0;14155617;Comedy;16;5.4;;103;1980-06-13
136914;La femme flic;1.452;0;13600000;Drama;6;6.3;;103;1980-01-08
29723;The Concorde... Airport '79;5.594;14000000;13015688;Action|Drama|Thriller;75;4.7;At twice the speed of sound, can the Concorde evade attack?;123;1979-08-17
23954;Atlantic City;10.289;7200000;12729675;Crime|Drama|Romance;94;7.0;She made him become what he always wanted to be - a lover, a hero, a rich man...and a killer!;104;1980-09-02
