director;id;original_title;popularity;budget;revenue;genres;vote_count;vote_average;runtime;release_date
Irvin Kershner;1891;The Empire Strikes Back;26.873;18000000;538400000;Adventure|Action|Science Fiction;10485;8.4;124;1980-05-20
Richard Lester;8536;Superman II;12.073;54000000;190458706;Science Fiction|Action|Adventure;1238;6.6;127;1980-12-04
John Landis;525;The Blues Brothers;16.233;27000000;115229890;Music|Comedy|Action|Crime;2226;7.7;133;1980-06-17
Sidney Poitier;21629;Stir Crazy;9.654;0;101300000;Comedy;209;6.6;111;1980-12-12
Jerry Zucker;813;Airplane!;24.051;3500000;83453539;Comedy;2285;7.3;88;1980-07-02
Buddy Van Horn;17169;Any Which Way You Can;10.08;0;70687344;Action|Adventure|Comedy;159;6.0;115;1980-12-17
Michael Apted;16769;Coal Miner's Daughter;9.407;15000000;67182787;Drama|Music;125;7.2;125;1980-03-07
Hal Needham;12705;Smokey and the Bandit II;8.207;0;66132626;Action|Comedy;137;5.4;100;1980-08-15
Jamie Uys;8393;The Gods Must Be Crazy;21.584;5000000;60000000;Action|Comedy;491;7.1;109;1980-09-10
Sean S. Cunningham;4488;Friday the 13th;27.101;550000;59754601;Horror;1403;6.3;95;1980-05-09
Randal Kleiser;5689;The Blue Lagoon;12.23;4500000;58853106;Romance|Adventure|Drama;931;5.9;104;1980-07-05
Stanley Kubrick;694;The Shining;26.968;19000000;44781695;Horror|Thriller;9671;8.2;144;1980-05-22
Jay Sandrich;28124;Seems Like Old Times;5.645;0;43995918;Comedy|Romance;70;6.5;102;1980-12-19
Tommy Chong;13612;Cheech & Chong's Next Movie;8.304;0;41675194;Action|Adventure|Comedy;120;6.1;99;1980-07-18
Harold Ramis;11977;Caddyshack;11.7;6000000;39846344;Comedy;624;6.7;98;1980-07-25
Stuart Rosenberg;1623;Brubaker;11.455;9000000;37121708;Crime|Drama;209;7.2;125;1980-06-20
Brian De Palma;11033;Dressed to Kill;11.28;6500000;31899000;Mystery|Thriller|Horror;342;6.8;105;1980-06-25
Mike Hodges;3604;Flash Gordon;9.286;35000000;27107960;Science Fiction;449;6.1;111;1980-09-01
David Lynch;1955;The Elephant Man;13.158;5000000;26010864;Drama|History;1647;8.1;124;1980-10-02
Martin Scorsese;1578;Raging Bull;17.081;18000000;23000000;Drama;2059;7.9;129;1980-11-14
Paul Schrader;2768;American Gigolo;9.457;4800000;22743674;Crime|Drama|Romance|Thriller;289;6.0;117;1980-02-08
Tony Bill;21873;My Bodyguard;6.938;0;22482952;Drama|Family;46;6.6;96;1980-07-11
Robert Greenwald;15668;Xanadu;8.778;20000000;22471595;Fantasy|Music|Romance|Science Fiction;106;5.4;96;1980-08-08
John Carpenter;790;The Fog;9.872;1000000;21378361;Horror;658;6.6;89;1980-02-08
Alan Parker;3537;Fame;8.456;0;21202829;Drama|Music;206;6.3;134;1980-05-16
Ken Russell;11542;Altered States;9.349;15000000;19853892;Horror|Science Fiction|Thriller;308;6.7;102;1980-12-25
Eric Karson;24825;The Octagon;7.16;0;18971000;Adventure|Action|Thriller;50;5.0;104;1980-08-14
