director;id;original_title;popularity;budget;revenue;genres;vote_count;vote_average;runtime;release_date
Andy Fickman;13680;The Game Plan;11.176;22000000;147880543;Comedy|Family;1088;6.3;110;2007-09-28
Marc Lawrence;11172;Music and Lyrics;12.72;40000000;145896422;Comedy|Music|Romance;1012;6.3;96;2007-02-09
Darren Lynn Bousman;663;Saw IV;15.378;10000000;139352633;Horror|Thriller|Crime;2015;6.1;96;2007-10-25
Gábor Csupó;1265;Bridge to Terabithia;12.137;60000000;137587063;Adventure|Drama|Family;2635;7.2;96;2007-02-16
Matthew Vaughn;2270;Stardust;11.553;70000000;135560026;Adventure|Fantasy|Romance|Family;2347;7.2;127;2007-08-09
Joe Wright;4347;Atonement;11.976;30000000;129266061;Drama|Romance;2177;7.6;123;2007-08-29
Bobby Farrelly;9038;The Heartbreak Kid;10.84;60000000;127766650;Comedy|Romance;871;5.6;116;2007-10-05
Greg Mottola;8363;Superbad;15.329;20000000;121463226;Comedy;3856;7.1;113;2007-08-17
Mike Nichols;6538;Charlie Wilson's War;13.764;75000000;119000410;Comedy|Drama|History;680;6.6;102;2007-12-19
D.J. Caruso;8271;Disturbia;9.088;20000000;117760134;Thriller|Drama|Mystery;2039;6.6;105;2007-04-12
Alastair Fothergill;10946;Earth;9.803;15000000;109000000;Documentary;220;7.5;90;2007-04-22
Jay Russell;54318;The Water Horse;10.183;40000000;103071443;Adventure|Family|Fantasy;586;6.4;112;2007-12-25
Xavier Gens;1620;Hitman;13.765;24000000;99965753;Action|Crime|Drama|Thriller;1821;5.9;89;2007-11-21
David Dobkin;5375;Fred Claus;11.66;100000000;97838349;Action|Comedy|Drama;454;5.6;116;2007-11-03
Antoine Fuqua;7485;Shooter;16.824;61000000;95696996;Action|Drama|Mystery|Thriller|Crime;2516;7.0;124;2007-03-22
Kevin Munroe;1273;TMNT;13.407;34000000;95608995;Adventure|Animation|Comedy|Family;599;5.9;90;2007-03-23
Mikael Håfström;3021;1408;12.449;25000000;94679598;Horror|Thriller;2478;6.6;104;2007-06-22
Tony Gilroy;4566;Michael Clayton;10.92;25000000;92991835;Drama|Thriller;883;6.8;119;2007-07-12
Scott Hicks;3638;No Reservations;9.554;28000000;92601050;Comedy|Romance|Drama;625;6.4;104;2007-07-25
Gregory Hoblit;6145;Fracture;13.098;0;91354215;Thriller;1955;7.3;113;2007-04-20
Adam Shankman;2976;Hairspray;20.792;50000000;90450008;Comedy|Romance|Drama;1637;6.6;117;2007-07-13
Jason Friedberg;9760;Epic Movie;9.7;20000000;86865564;Action|Adventure|Comedy;733;3.3;86;2007-01-25
Peter Berg;4349;The Kingdom;12.717;70000000;86658558;Thriller|Action|Drama;844;6.6;110;2007-08-22
David Fincher;1949;Zodiac;22.947;65000000;84785914;Crime|Drama|Mystery|Thriller;4948;7.5;157;2007-03-02
Mennan Yapo;9963;Premonition;13.382;20000000;84146832;Thriller|Drama|Mystery;797;6.1;96;2007-02-08
Peter Webber;1248;Hannibal Rising;2.904;50000000;82169884;Crime|Drama|Thriller|Horror;1176;6.1;121;2007-02-06
Til Schweiger;6076;Keinohrhasen;6.926;0;81303447;Drama|Comedy|Romance;207;6.2;116;2007-12-01
Edgar Wright;4638;Hot Fuzz;12.569;12000000;80573774;Crime|Action|Comedy;4304;7.5;121;2007-02-14
Rob Zombie;2082;Halloween;14.118;15000000;80253908;Horror;1148;6.0;109;2007-08-31
J. A. Bayona;6537;El orfanato;8.889;3400000;78638987;Horror|Drama|Thriller;1412;7.2;105;2007-05-20
Joel Schumacher;3594;The Number 23;10.929;30000000;77566815;Thriller|Drama|Mystery;1929;6.4;101;2007-02-23
Paul Thomas Anderson;7345;There Will Be Blood;13.888;25000000;77208711;Drama;3188;8.1;158;2007-12-28
Lee Tamahori;1738;Next;11.523;70000000;76066841;Action|Science Fiction|Thriller;1672;5.9;96;2007-04-24
Sylvain White;1931;Stomp the Yard;8.988;13000000;75511123;Drama|Music;181;6.4;114;2007-05-16
David Slade;4513;30 Days of Night;11.234;30000000;75505973;Horror|Thriller;1515;6.3;113;2007-10-17
Shim Hyung-rae;10253;디워;8.872;32000000;75108998;Fantasy|Drama|Horror|Action|Thriller|Science Fiction;177;4.0;90;2007-02-08
Shekhar Kapur;4517;Elizabeth: The Golden Age;11.756;55000000;74237563;Drama|History|Romance;683;6.7;114;2007-09-09
Marc Forster;7979;The Kite Runner;7.846;20000000;73276047;Drama;739;7.3;128;2007-10-04
James Foley;7183;Perfect Stranger;11.319;60795000;73090611;Crime|Drama|Mystery|Thriller;462;5.8;109;2007-04-12
James Mangold;5176;3:10 to Yuma;12.932;55000000;70016220;Western;1974;7.1;122;2007-09-06
Neil Jordan;4413;The Brave One;10.775;70000000;69766619;Crime|Drama|Thriller;476;6.5;122;2007-09-14
Michael Lehmann;1257;Because I Said So;10.021;0;69485490;Comedy|Romance;400;6.0;102;2007-02-02
Zach Helm;2284;Mr. Magorium's Wonder Emporium;9.985;0;69474661;Comedy|Family|Fantasy;736;6.2;93;2007-11-14
Ken Kwapis;2959;License to Wed;9.51;35000000;69307224;Comedy;554;5.6;91;2007-07-04
Peter Hedges;7211;Dan in Real Life;10.973;25000000;68377859;Comedy|Romance|Drama;641;6.4;98;2007-10-26
Kirsten Sheridan;5123;August Rush;14.871;25000000;66122026;Family|Drama|Music;1702;7.3;114;2007-11-21
Frederik Du Chau;6589;Underdog;10.317;25000000;65270477;Action|Adventure|Comedy|Family|Fantasy;361;4.9;81;2007-08-03
Gérard Krawczyk;2335;Taxi 4;10.154;0;65125001;Action|Comedy;650;5.5;91;2007-02-10
Juan Carlos Fresnadillo;1562;28 Weeks Later;13.46;15000000;64238440;Horror|Thriller|Science Fiction;2344;6.5;100;2007-04-26
Robert Redford;4515;Lions for Lambs;9.066;35000000;63215872;Action|Adventure|Drama|History;407;6.1;92;2007-10-22
Stephen Hopkins;1683;The Reaping;9.899;40000000;62771059;Horror;423;5.6;99;2007-04-05
Mark Helfrich;10030;Good Luck Chuck;11.023;25000000;59192128;Comedy;797;5.7;101;2007-09-21
Steve Carr;10172;Are We Done Yet?;6.914;0;58400000;Comedy|Family;295;5.3;92;2007-04-04
Frank Darabont;5876;The Mist;12.221;18000000;57096190;Horror|Science Fiction|Thriller;2702;6.8;126;2007-11-21
Sean Penn;5915;Into the Wild;14.288;15000000;56255142;Adventure|Drama;6156;7.8;148;2007-09-11
David Cronenberg;2252;Eastern Promises;11.359;51500000;56106607;Thriller|Crime|Mystery;1700;7.3;100;2007-09-14
Timur Bekmambetov;27046;Ирония судьбы. Продолжение;4.564;5000000;55635037;Comedy|Drama|Romance;40;4.5;125;2007-12-21
Tyler Perry;17202;Why Did I Get Married?;6.161;15000000;55184721;Comedy|Drama;60;6.2;113;2007-10-12
James Gray;2001;We Own the Night;8.749;21000000;54926886;Drama|Crime|Thriller;654;6.6;117;2007-05-25
Shari Springer Berman;12435;The Nanny Diaries;7.929;20000000;47738099;Comedy|Drama|Romance;608;6.2;106;2007-08-24
Takashi Yamazaki;41177;ALWAYS 続・三丁目の夕日;1.117;0;46790160;Comedy|Drama;6;6.5;146;2007-11-03
Natsuki Imai;40713;恋空;3.469;0;44038000;Romance|Drama;53;7.4;129;2007-11-03
Kunihiko Yuyama;25961;劇場版ポケットモンスター ダイヤモンド&パール ディアルガVSパルキアVSダークライ;8.605;0;42538454;Adventure|Animation|Family|Fantasy;120;6.5;90;2007-07-14
Colin Strause;440;Aliens vs Predator: Requiem;15.388;40000000;41797066;Fantasy|Action|Science Fiction|Thriller|Horror;1390;4.9;94;2007-12-25
Christopher Nolan;155;The Dark Knight;55.23;185000000;1004558444;Drama|Action|Crime|Thriller;20341;8.4;152;2008-07-16
Steven Spielberg;217;Indiana Jones and the Kingdom of the Crystal Skull;21.614;185000000;786636033;Adventure|Action;4847;5.9;122;2008-05-21
Mark Osborne;9502;Kung Fu Panda;19.184;130000000;631744560;Adventure|Animation|Family|Comedy;6632;7.1;90;2008-06-04
Peter Berg;8960;Hancock;15.176;150000000;624029371;Fantasy|Action;5842;6.3;92;2008-07-01
Phyllida Lloyd;11631;Mamma Mia!;15.218;52000000;609841637;Comedy|Romance;4038;6.9;108;2008-07-02
Eric Darnell;10527;Madagascar: Escape 2 Africa;21.001;150000000;603900354;Family|Animation|Comedy;4124;6.4;89;2008-10-30
Marc Forster;10764;Quantum of Solace;24.221;200000000;586090727;Adventure|Action|Thriller|Crime;4765;6.2;106;2008-10-30
Jon Favreau;1726;Iron Man;33.263;140000000;585174222;Action|Science Fiction|Adventure;16937;7.6;126;2008-04-30
Andrew Stanton;10681;WALL·E;23.17;180000000;521311860;Animation|Family|Science Fiction;11617;8.0;98;2008-06-22
Andrew Adamson;2454;The Chronicles of Narnia: Prince Caspian;17.205;225000000;419665568;Adventure|Family|Fantasy;3873;6.5;150;2008-05-15
Michael Patrick King;4564;Sex and the City;9.557;65000000;415252786;Comedy|Drama|Romance;1123;6.4;145;2008-05-12
Rob Cohen;1735;The Mummy: Tomb of the Dragon Emperor;20.109;145000000;401128639;Adventure|Action|Fantasy;2754;5.3;112;2008-07-01
Catherine Hardwicke;8966;Twilight;27.934;37000000;393616788;Fantasy|Drama|Romance;7994;6.0;122;2008-11-20
Danny Boyle;12405;Slumdog Millionaire;16.165;15000000;377910544;Drama|Romance;6413;7.7;120;2008-05-12
David Fincher;4922;The Curious Case of Benjamin Button;20.552;150000000;333932083;Fantasy|Drama|Thriller|Mystery|Romance;7306;7.5;166;2008-12-25
Chris Williams;13053;Bolt;16.787;150000000;309979994;Animation|Family|Adventure|Comedy;3690;6.4;98;2008-01-29
Jimmy Hayward;12222;Horton Hears a Who!;12.459;85000000;297138014;Animation|Comedy|Family|Adventure|Fantasy;1918;6.3;88;2008-03-03
Clint Eastwood;13223;Gran Torino;13.707;33000000;269958228;Drama;6296;8.0;116;2008-12-09
Roland Emmerich;7840;10,000 BC;16.39;105000000;266000000;Adventure|Action|Drama|Fantasy;1769;5.3;109;2008-02-22
