"director","id","original_title","popularity","budget","revenue","genres","vote_count","vote_average","runtime","release_date","year"
"Don Taylor",8738,"The Final Countdown",9.931,12000000,16647800,"War|Action|Science Fiction",225,6.3,"103","1980-01-31",1980
"Walter Hill",14729,"The Long Riders",6.078,10000000,15795189,"Western|History",90,6.7,"99","1980-05-12",1980
"Paul Lynch",36599,"Prom Night",9.27,1000000,14796236,"Horror|Mystery|Thriller",162,5.6,"92","1980-07-18",1980
"Louis Malle",23954,"Atlantic City",6.111,7200000,12729675,"Crime|Drama|Romance",96,7,"104","1980-09-02",1980
"Robert Zemeckis",14475,"Used Cars",9.249,8000000,11715321,"Action|Comedy",106,6.4,"113","1980-07-11",1980
"Jimmy T. Murakami",14460,"Battle Beyond the Stars",6.48,2000000,1.1e+07,"Science Fiction",80,5.6,"104","1980-09-08",1980
"Woody Allen",11337,"Stardust Memories",6.976,10000000,10389003,"Comedy|Drama|Romance",196,7.1,"89","1980-09-26",1980
"Floyd Mutrux",21879,"The Hollywood Knights",3.877,2500000,1e+07,"Comedy",27,6.3,"91","1980-05-30",1980
"Samuel Fuller",16121,"The Big Red One",8.69,4500000,7206220,"Drama|War",138,6.9,"113","1980-05-28",1980
"Jerry Jameson",24575,"Raise the Titanic",4.096,36000000,7e+06,"Adventure",38,5.4,"115","1980-01-01",1980
"William Sachs",33155,"Galaxina",4.103,5500000,4865000,"Comedy|Science Fiction",29,4.3,"95","1980-06-06",1980
"James Goldstone",47942,"When Time Ran Out...",4.716,20000000,3763988,"Action|Adventure|Drama|Thriller",28,6.6,"121","1980-03-28",1980
"Michael Cimino",10935,"Heaven's Gate",8.228,44000000,3484331,"Drama|Western",132,6.7,"219","1980-11-19",1980
"Vladimir Menshov",21028,"Москва слезам не верит",5.612,900000,2500000,"Drama|Comedy|Romance",92,7.9,"142","1980-02-11",1980
"Ertem Eğilmez",184979,"Banker Bilo",2.555,85000,243000,"Drama|Comedy",22,7.2,"85","1980-01-01",1980
"Steven Spielberg",85,"Raiders of the Lost Ark",26.668,18000000,389925971,"Adventure|Action",7173,7.9,"115","1981-06-12",1981
"John Glen",699,"For Your Eyes Only",16.061,28000000,195312802,"Adventure|Action|Thriller",885,6.5,"127","1981-06-23",1981
"Bob Clark",10246,"Porky's",9.457,4000000,125728258,"Comedy",336,6.2,"94","1981-11-13",1981
"Steve Gordon",13665,"Arthur",8.475,7000000,95461682,"Comedy|Drama|Romance",210,6.5,"97","1981-07-17",1981
"Ivan Reitman",10890,"Stripes",9.245,10000000,85300000,"Action|Comedy",458,6.6,"106","1981-06-25",1981
"Wolfgang Petersen",387,"Das Boot",18.03,14000000,8.5e+07,"Drama|History|War",1061,8.1,"150","1981-09-16",1981
"Hal Needham",11286,"The Cannonball Run",8.547,18000000,72179579,"Comedy|Action",291,6.2,"95","1981-06-19",1981
"Hugh Hudson",9443,"Chariots of Fire",9.867,5500000,58972904,"Drama|History",417,7,"123","1981-05-15",1981
"Jean-Jacques Annaud",62204,"La Guerre du feu",7.622,12000000,55260558,"Adventure|Drama",240,7.2,"100","1981-12-15",1981
"John Carpenter",1103,"Escape from New York",15.39,6000000,50244700,"Science Fiction|Action",1501,7.1,"99","1981-05-22",1981
"Terry Gilliam",36819,"Time Bandits",10.157,5000000,42365581,"Family|Fantasy|Science Fiction|Adventure|Comedy",465,6.7,"116","1981-07-13",1981
"Desmond Davis",10323,"Clash of the Titans",9.319,15000000,41092328,"Adventure|Family|Fantasy|Science Fiction",364,6.7,"118","1981-03-15",1981
"Sydney Pollack",19429,"Absence of Malice",7.163,12000000,40716963,"Drama|Romance|Thriller",85,6.9,"116","1981-11-19",1981
"Warren Beatty",18254,"Reds",9.633,35000000,40382659,"Drama|History|Romance",141,7.3,"196","1981-12-25",1981
"Harold Becker",10627,"Taps",9.194,14000000,35856053,"Drama",128,6.8,"126","1981-12-20",1981
"John Boorman",11527,"Excalibur",10.862,11000000,34967437,"Adventure|Fantasy",487,7,"140","1981-04-10",1981
"John Landis",814,"An American Werewolf in London",10.425,10000000,31973249,"Comedy|Horror",1100,7.3,"97","1981-08-21",1981
"Mel Brooks",10156,"History of the World: Part I",11.676,11000000,31672907,"Comedy",371,6.7,"92","1981-06-12",1981
"John G. Avildsen",19507,"Neighbors",5.596,8500000,29916207,"Comedy",65,5.8,"94","1981-12-18",1981
"Ted Berman",10948,"The Fox and the Hound",14.808,12000000,29800000,"Adventure|Animation|Drama|Family",1890,7.1,"82","1981-07-10",1981
"Sam Raimi",764,"The Evil Dead",11.589,350000,29400000,"Horror",1881,7.3,"85","1981-10-15",1981
"John Huston",17360,"Escape to Victory",7.775,10000000,27453418,"Drama|War",410,6.8,"116","1981-06-17",1981
"Alan Myerson",41280,"Private Lessons",17.74,2800000,26279000,"Comedy|Romance",35,5.7,"87","1981-08-21",1981
"George Miller",8810,"Mad Max 2",20.212,2000000,24600832,"Adventure|Action|Thriller|Science Fiction",1850,7.4,"96","1981-12-24",1981
"Steve Miner",9725,"Friday the 13th Part 2",11.947,1250000,21722776,"Horror|Thriller",740,6,"87","1981-05-01",1981
"Gerald Potterton",11827,"Heavy Metal",14.079,9300000,20100000,"Animation|Science Fiction|Adventure|Fantasy|Music",302,6.3,"90","1981-08-07",1981
"Bruce Malmuth",21610,"Nighthawks",7.656,5000000,19905359,"Action|Crime|Thriller",169,6.3,"99","1981-03-17",1981
"Joe Dante",11298,"The Howling",8.285,1000000,17985893,"Horror",307,6.4,"91","1981-03-13",1981
"Peter Hyams",10540,"Outland",8.733,16000000,17374595,"Science Fiction|Mystery",269,6.4,"112","1981-05-22",1981
"David Cronenberg",9538,"Scanners",10.665,4100000,14225876,"Science Fiction|Horror",505,6.8,"103","1981-01-14",1981
"Matthew Robbins",848,"Dragonslayer",9.18,18000000,14110013,"Fantasy",130,6.5,"108","1981-06-26",1981
"Brian De Palma",11644,"Blow Out",15.281,18000000,1.2e+07,"Thriller",549,7.4,"108","1981-07-24",1981
"Peter Weir",11646,"Gallipoli",8.471,3000000,11740000,"Adventure|Drama|History|War",220,7.2,"112","1981-08-13",1981
"Michael Wadleigh",10725,"Wolfen",6.676,17000000,10626725,"Drama|Horror",90,6,"115","1981-07-24",1981
"Michael Schultz",53922,"Carbon Copy",3.097,6000000,9566593,"Comedy|Drama",26,5.7,"92","1981-08-06",1981
"Herbert Ross",17450,"Pennies from Heaven",7.377,22000000,9171289,"Drama|Music|Romance",48,6.5,"108","1981-12-11",1981
"Charles Jarrott",21294,"The Amateur",1.989,10000000,6892098,"Action|Crime|Thriller",3,6.5,"112","1981-12-11",1981
"George Mihalka",39874,"My Bloody Valentine",8.721,2200000,5672031,"Thriller|Horror|Mystery",156,6.3,"90","1981-02-11",1981
"Frank Perry",15660,"Mommie Dearest",6.41,19032261,5e+06,"Drama",97,6.6,"129","1981-09-18",1981
"Jimmy Huston",40469,"Final Exam",4.592,374000,3e+06,"Horror",42,4.8,"90","1981-06-05",1981
"William A. Fraker",38665,"The Legend of the Lone Ranger",5.206,18000000,2945600,"Action|Adventure|Romance|Western",21,4.1,"98","1981-08-20",1981
"Steve Rash",47941,"Under the Rainbow",3.376,20000000,2297493,"Comedy",12,5.3,"98","1981-07-31",1981
"Allan Arkush",73247,"Heartbeeps",4.228,10000000,2154696,"Comedy|Romance|Family",8,3.6,"79","1981-12-18",1981
"Malcolm Leo",109264,"This Is Elvis",3.253,5000000,2028612,"Drama|Music|Documentary",11,6.5,"110","1981-04-04",1981
"Noel Marshall",2989,"Roar",3.198,17000000,2e+06,"Adventure|Thriller",45,6.1,"102","1981-11-12",1981
"Moustapha Akkad",26843,"Lion of the Desert",5.21,35000000,1500000,"Action|History|War",69,7.3,"173","1981-04-17",1981
"Geoff Murphy",16124,"Goodbye Pork Pie",1.323,300000,1400000,"Adventure|Comedy",11,6.9,"105","1981-02-05",1981
"Ken Wiederhorn",79649,"Eyes of a Stranger",3.009,800000,1118634,"Horror|Thriller",25,6.2,"84","1981-02-11",1981
"Noel Nosseck",75048,"King of the Mountain",2.908,2000000,958000,"Drama|Action",6,5.8,"90","1981-05-01",1981
"Jan Gissberg",47542,"Pelle Svanslös",1.657,48740,955401,"Romance|Family|Animation|Drama",13,6.1,"81","1981-12-25",1981
"John Schlesinger",47871,"Honky Tonk Freeway",2.063,24000000,939423,"Action|Comedy",4,5,"107","1981-08-21",1981
"Helmut Dziuba",220772,"Als Unku Edes Freundin war",0.6,865000,925000,"Drama|Family",3,7.5,"72","1981-04-03",1981
"Oliver Stone",42149,"The Hand",4.458,6500000,566736,"Horror|Thriller",46,6,"104","1981-04-24",1981
"Franklin J. Schaffner",47890,"Sphinx",2.755,14000000,439564,"Adventure|Mystery|Thriller",7,5,"118","1981-02-11",1981
"Gary Sherman",24274,"Dead & Buried",7.293,3000000,216166,"Horror|Mystery",100,6.4,"94","1981-05-29",1981
"Richard Franklin",43089,"Roadgames",5.9,1750000,1e+05,"Horror|Mystery|Thriller",55,6.5,"101","1981-06-26",1981
"Tofig Taghizadeh",517563,"Babamızın babasının babası",0.6,50,112,"Drama|Comedy",0,0,"72","1981-02-12",1981
"Jean-Jacques Beineix",4485,"Diva",4.634,1,19,"Action|Drama|Music|Thriller",80,7,"117","1981-03-11",1981
"Steven Spielberg",601,"E.T. the Extra-Terrestrial",19.411,10500000,792965326,"Science Fiction|Adventure|Family|Fantasy",6985,7.5,"115","1982-06-11",1982
"Sylvester Stallone",1371,"Rocky III",18.047,17000000,2.7e+08,"Drama",2092,6.8,"99","1982-05-28",1982
"Sydney Pollack",9576,"Tootsie",11.119,21000000,177200000,"Comedy|Romance",891,7.2,"116","1982-12-16",1982
"Ted Kotcheff",1368,"First Blood",29.178,15000000,125212904,"Action|Adventure|Thriller|War",3138,7.4,"93","1982-10-22",1982
"Tobe Hooper",609,"Poltergeist",12.328,10700000,122200000,"Horror",1486,7.1,"114","1982-06-04",1982
"Nicholas Meyer",154,"Star Trek II: The Wrath of Khan",8.332,12000000,96800000,"Action|Adventure|Science Fiction|Thriller",1080,7.5,"113","1982-06-03",1982
"John Milius",9387,"Conan the Barbarian",13.257,20000000,79114085,"Adventure|Fantasy|Action",1261,6.7,"129","1982-04-02",1982
"Walter Hill",150,"48 Hrs.",13.233,12000000,78868508,"Thriller|Action|Comedy|Crime|Drama",716,6.6,"96","1982-12-07",1982
"Richard Attenborough",783,"Gandhi",10.95,22000000,77737889,"Drama|History",1269,7.5,"191","1982-11-30",1982
"Clint Eastwood",10724,"Firefox",10.247,18000000,70687344,"Science Fiction|Action|Adventure|Thriller",242,6,"136","1982-06-13",1982
"Colin Higgins",16363,"The Best Little Whorehouse in Texas",4.702,35000000,69701637,"Comedy",73,6,"114","1982-07-23",1982
"John Huston",15739,"Annie",9.207,50000000,57059003,"Comedy|Drama|Family",392,6.4,"127","1982-06-18",1982
"Sidney Lumet",24226,"The Verdict",6.718,16000000,53977250,"Drama",264,7.5,"129","1982-12-08",1982
"Michael Winner",14373,"Death Wish II",8.915,2000000,4.5e+07,"Action|Crime|Thriller",172,6.1,"88","1982-02-20",1982
"Frank Oz",11639,"The Dark Crystal",9.909,15000000,40577001,"Fantasy|Adventure|Family|Animation",554,7.1,"93","1982-12-17",1982
"Albert Pyun",13945,"The Sword and the Sorcerer",5.072,4000000,39103425,"Action|Adventure|Fantasy",45,5.4,"100","1982-04-01",1982
"Steve Miner",9728,"Friday the 13th Part III",13.292,4000000,36690067,"Horror|Thriller",608,5.8,"95","1982-08-13",1982
"Steven Lisberger",97,"Tron",15.572,17000000,3.3e+07,"Science Fiction|Action|Adventure",1185,6.6,"96","1982-07-09",1982
"Ridley Scott",78,"Blade Runner",33.843,28000000,32868943,"Science Fiction|Drama|Thriller",8174,7.9,"117","1982-06-25",1982
"Alan J. Pakula",15764,"Sophie's Choice",7.578,12000000,30036000,"Drama|Romance",402,7.5,"151","1982-12-08",1982
"George Roy Hill",11307,"The World According to Garp",7.936,17000000,29712172,"Comedy|Drama",150,6.9,"136","1982-08-13",1982
"Amy Heckerling",13342,"Fast Times at Ridgemont High",10.97,4500000,27092880,"Comedy|Drama",623,7,"90","1982-08-13",1982
"Alan Parker",12104,"Pink Floyd: The Wall",12.363,12000000,22244207,"Music",723,8,"95","1982-07-14",1982
"George A. Romero",16281,"Creepshow",9.696,8000000,21028755,"Horror|Comedy",444,6.8,"120","1982-11-12",1982
"George T. Miller",24266,"The Man from Snowy River",7.051,3500000,20659423,"Adventure|Family|Drama|Western|Romance",65,7,"104","1982-03-02",1982
"John Carpenter",1091,"The Thing",22.83,15000000,19629760,"Horror|Mystery|Science Fiction",3404,8,"109","1982-06-25",1982
"Patricia Birch",9037,"Grease 2",11.471,13200000,15171476,"Comedy|Family|Music|Romance",398,5,"115","1982-06-11",1982
"Don Bluth",11704,"The Secret of NIMH",10.48,7000000,14665733,"Animation|Family",427,7.5,"82","1982-06-17",1982
"Tommy Lee Wallace",10676,"Halloween III: Season of the Witch",11.442,2500000,14400000,"Horror|Mystery|Science Fiction",567,5,"98","1982-10-22",1982
"Michael Miller",27150,"Silent Rage",4.168,4500000,10500000,"Action|Horror|Science Fiction",51,5.6,"103","1982-04-02",1982
"Jack Sholder",40952,"Alone in the Dark",4.897,20000000,8178569,"Horror|Thriller",57,6,"93","1982-11-12",1982
"Charles Band",48311,"Parasite",4.517,800000,7e+06,"Horror|Science Fiction",21,4.7,"85","1982-03-12",1982
"Terence Young",113464,"Inchon",1.766,46000000,5200000,"Drama|History|War",6,5.3,"140","1982-05-04",1982
"Harley Cokeliss",27873,"Warlords of the 21st Century",1.843,1000000,3e+06,"Science Fiction",8,4.9,"91","1982-01-01",1982
"Franklin J. Schaffner",88451,"Yes, Giorgio",1.617,19000000,2279543,"Music|Drama|Comedy|Romance",5,2.6,"110","1982-09-24",1982
"Elly Kenner",27630,"The Black Room",2.787,250000,2160000,"Horror|Thriller",5,4.2,"88","1982-12-09",1982
"Andrew Solt",30168,"It Came from Hollywood",3.701,5000000,2091037,"Comedy|Documentary",15,5.5,"80","1982-12-10",1982
"Peter Weir",11541,"The Year of Living Dangerously",7.611,6000000,1317657,"Drama|Romance|War",160,6.9,"115","1982-12-17",1982
"Hal Ashby",47878,"Lookin' to Get Out",1.421,17000000,946461,"Comedy",2,5.2,"105","1982-10-08",1982
"Robert Altman",67772,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",3.863,850000,840000,"Comedy|Drama",21,5.3,"109","1982-11-12",1982
"Ishmael Bernal",197976,"Himala",1.422,68415,684150,"Drama",7,7.7,"124","1982-12-25",1982
"Larry Peerce",83301,"Love Child",0.65,50091,112940,"Romance|Drama|Crime",2,6.5,"96","1982-10-15",1982
"Oz Scott",407873,"For Colored Girls Who Have Considered Suicide/When The Rainbow Is Enuf",0.62,1000000,1e+05,"Drama|Romance",1,10,"78","1982-02-23",1982
"Çetin İnanç",20787,"Dünyayı Kurtaran Adam",2.569,300000,29934,"Science Fiction|Action|Adventure|Fantasy",32,5.2,"91","1982-11-04",1982
"Lloyd Kaufman",86466,"Stuck on You!",1.728,150,9,"Romance|Comedy",4,5,"88","1982-05-14",1982
"Richard Marquand",1892,"Return of the Jedi",22.564,32350000,572700000,"Adventure|Action|Science Fiction",8684,8,"135","1983-05-23",1983
"John Glen",700,"Octopussy",19.665,27500000,187500000,"Adventure|Action|Thriller",968,6.3,"131","1983-06-05",1983
"Irvin Kershner",36670,"Never Say Never Again",15.142,36000000,1.6e+08,"Adventure|Action|Thriller",672,6.1,"134","1983-10-07",1983
"Adrian Lyne",535,"Flashdance",11.92,4000000,92921203,"Drama|Romance",714,6.4,"95","1983-04-14",1983
"John Landis",1621,"Trading Places",14.437,40600000,90400000,"Comedy",1664,7.1,"116","1983-06-07",1983
"Joe Alves",17692,"Jaws 3-D",11.756,20500000,87987055,"Thriller|Horror",609,4.3,"99","1983-03-16",1983
"John Badham",860,"WarGames",11.62,12000000,79567667,"Thriller|Science Fiction",921,7.1,"114","1983-06-03",1983
"Richard Lester",9531,"Superman III",12.107,39000000,75850624,"Comedy|Science Fiction|Action|Adventure",913,5.4,"125","1983-06-17",1983
"Clint Eastwood",10650,"Sudden Impact",9.476,22000000,67642693,"Crime",405,6.6,"117","1983-12-07",1983
"Brian De Palma",111,"Scarface",24.915,25000000,66023329,"Action|Crime|Drama|Thriller",5952,8.1,"170","1983-12-08",1983
"Sylvester Stallone",10805,"Staying Alive",8.894,22000000,64892670,"Drama|Music",217,5.4,"93","1983-07-11",1983
"Paul Brickman",9346,"Risky Business",11.996,6200000,63541777,"Comedy|Romance|Drama",626,6.5,"98","1983-08-05",1983
"Harold Ramis",11153,"National Lampoon's Vacation",18.141,15000000,61399552,"Comedy|Adventure",734,7.1,"99","1983-07-28",1983
"John Badham",6341,"Blue Thunder",13.1,22000000,42313354,"Science Fiction|Action|Thriller|Crime|Drama",206,6.1,"109","1983-02-05",1983
"Richard Franklin",10576,"Psycho II",9.336,5000000,34725000,"Horror|Mystery|Thriller",296,6.3,"113","1983-06-03",1983
"Bob Clark",19698,"Porky's II: The Next Day",6.593,6500000,33759266,"Comedy",122,5.3,"98","1983-06-24",1983
"Francis Ford Coppola",227,"The Outsiders",11.343,10000000,33697647,"Crime|Drama",622,7.3,"91","1983-03-25",1983
"Barbra Streisand",10269,"Yentl",10.654,12000000,30400000,"Music|Drama|Romance",104,6.5,"132","1983-11-18",1983
"Steven Spielberg",15301,"Twilight Zone: The Movie",9.982,10000000,29450919,"Drama|Fantasy|Horror|Science Fiction|Thriller",359,6.5,"101","1983-06-24",1983
"Philip Kaufman",9549,"The Right Stuff",10.136,27000000,21500000,"Drama|History",439,7.5,"193","1983-10-20",1983
"Lewis Teague",10489,"Cujo",9.675,5000000,21200000,"Horror|Thriller",439,6,"93","1983-08-10",1983
"Burny Mattinson",14813,"Mickey's Christmas Carol",16.034,3000000,2.1e+07,"Family|Animation",426,7.5,"26","1983-10-19",1983
"David Cronenberg",11336,"The Dead Zone",9.877,10000000,20766616,"Thriller|Horror|Science Fiction",673,7.1,"103","1983-10-21",1983
"Martha Coolidge",19053,"Valley Girl",7.241,350000,17343596,"Comedy|Romance",92,6.2,"99","1983-04-08",1983
"Peter Yates",849,"Krull",8.732,27000000,16519460,"Action|Adventure|Fantasy|Science Fiction",245,6,"117","1983-07-29",1983
"Lamont Johnson",26978,"Spacehunter: Adventures in the Forbidden Zone",5.435,15000000,16500000,"Adventure|Science Fiction",55,5.4,"90","1983-05-20",1983
"Steve Carver",14854,"Lone Wolf McQuade",9.025,5000000,12232628,"Action|Western|Crime",111,6,"107","1983-04-15",1983
"Robert Hiltzik",13567,"Sleepaway Camp",8.314,350000,1.1e+07,"Horror",255,6.3,"85","1983-11-18",1983
"Blake Edwards",69928,"The Man Who Loved Women",3.135,19000000,1.1e+07,"Comedy",14,4.7,"110","1983-12-18",1983
"Mark Rosman",40229,"The House on Sorority Row",7.474,425000,10604986,"Horror|Mystery|Thriller",75,6,"91","1983-01-21",1983
"Douglas Trumbull",15050,"Brainstorm",6.798,15000000,10219460,"Science Fiction|Thriller",106,6.3,"106","1983-09-30",1983
"J. Lee Thompson",18587,"10 to Midnight",6.403,4520000,7175592,"Crime|Drama|Thriller",70,6.1,"101","1983-03-11",1983
"Jack Clayton",24808,"Something Wicked This Way Comes",6.296,19000000,5656087,"Fantasy|Mystery|Thriller|Family|Horror",75,6.6,"95","1983-04-29",1983
"Amy Holden Jones",75986,"Love Letters",3.333,550000,5269990,"Drama|Romance",7,5.2,"98","1983-04-01",1983
"Blake Edwards",36576,"Curse of the Pink Panther",6.262,11000000,4491986,"Crime|Comedy",70,4.2,"109","1983-08-12",1983
"Greydon Clark",27323,"Joysticks",3.94,300000,3952448,"Comedy",27,5.2,"88","1983-03-04",1983
"Michael Mann",26198,"The Keep",5.904,6000000,3661757,"Horror",91,5.8,"96","1983-12-16",1983
"Francis Ford Coppola",232,"Rumble Fish",8.463,10000000,2494480,"Action|Crime|Drama",303,7.2,"94","1983-10-20",1983
"Rob Lieberman",266331,"Table For Five",2.239,8000000,2439705,"Drama|Romance",4,6.6,"121","1983-02-18",1983
"David Cronenberg",837,"Videodrome",12.28,5952000,2120439,"Horror|Mystery|Science Fiction",1003,7.3,"88","1983-02-04",1983
"Lynne Littman",21259,"Testament",5.244,1500000,2044892,"Drama",47,6.4,"90","1983-11-04",1983
"John Sayles",42103,"Baby It's You",3.96,3000000,1867792,"Comedy|Drama|Romance",16,6.1,"105","1983-04-03",1983
"Curtis Hanson",33676,"Losin' It",5.802,7000000,1246141,"Comedy",47,5.1,"100","1983-04-08",1983
"Ralph Bakshi",15035,"Fire and Ice",10.952,1200000,760883,"Animation|Fantasy|Science Fiction",81,6.2,"81","1983-03-25",1983
"Mark Pirro",113451,"A Polish Vampire in Burbank",2.94,3000,5e+05,"Horror|Comedy",4,6,"84","1983-10-30",1983
"Kamal Amrohi",231799,"Razia Sultan",0.909,100000,1e+05,"Drama",2,6,"120","1983-05-31",1983
"Steven Spielberg",87,"Indiana Jones and the Temple of Doom",23.39,28000000,3.33e+08,"Adventure|Action",5285,7.2,"118","1984-05-23",1984
"Martin Brest",90,"Beverly Hills Cop",13.851,15000000,316360478,"Action|Comedy|Crime",2049,7.1,"105","1984-11-29",1984
"Ivan Reitman",620,"Ghostbusters",21.389,30000000,295212467,"Comedy|Fantasy",5032,7.4,"107","1984-06-08",1984
"Joe Dante",927,"Gremlins",16.091,11000000,153083102,"Fantasy|Horror|Comedy",3631,7.1,"106","1984-06-07",1984
"Hugh Wilson",9336,"Police Academy",13.086,4500000,146198896,"Comedy|Crime",1290,6.6,"96","1984-03-22",1984
"John G. Avildsen",1885,"The Karate Kid",12.598,8000000,90815558,"Drama|Action",1918,7,"126","1984-06-22",1984
"Leonard Nimoy",157,"Star Trek III: The Search for Spock",6.592,18000000,8.7e+07,"Science Fiction|Action|Adventure|Thriller",714,6.6,"105","1984-05-31",1984
"Robert Zemeckis",9326,"Romancing the Stone",12.913,10000000,86572238,"Action|Adventure|Comedy|Romance",913,6.7,"106","1984-03-30",1984
"Herbert Ross",1788,"Footloose",15.085,8200000,80035402,"Drama|Romance",1076,6.6,"107","1984-02-17",1984
"James Cameron",218,"The Terminator",31.385,6400000,78371200,"Action|Thriller|Science Fiction",7466,7.5,"108","1984-10-26",1984
"Ron Howard",2619,"Splash",12.48,8000000,69821334,"Comedy|Fantasy|Romance",670,6.2,"111","1984-03-09",1984
"Albert Magnoli",13763,"Purple Rain",8.289,7200000,68392977,"Drama|Music|Romance",177,6.6,"111","1984-07-27",1984
"Miloš Forman",279,"Amadeus",14.091,18000000,51973029,"Drama|History|Music",2252,8,"160","1984-09-06",1984
"Barry Levinson",11393,"The Natural",7.775,28000000,47951979,"Drama",283,7.1,"137","1984-05-11",1984
"Peter Hyams",4437,"2010",9.082,28000000,40400657,"Thriller|Science Fiction",477,6.7,"116","1984-12-06",1984
"Joel Silberg",15259,"Breakin'",6.237,1200000,38682707,"Music",50,6,"90","1984-01-10",1984
"Neal Israel",12309,"Bachelor Party",10.519,6000000,38435947,"Comedy",288,5.9,"105","1984-06-29",1984
"John Milius",1880,"Red Dawn",9.779,17000000,38376497,"Action|Thriller|War",375,6.3,"114","1984-08-10",1984
"Richard Benjamin",16969,"City Heat",8.722,25000000,38348988,"Action|Comedy|Crime|Mystery",87,5.5,"93","1984-12-05",1984
"Luca Bercovici",18498,"Ghoulies",6.524,1000000,3.5e+07,"Comedy|Horror|Fantasy",108,4.5,"81","1984-11-08",1984
"Roland Joffé",625,"The Killing Fields",10.671,14400000,34700291,"Drama|History|War",328,7.5,"142","1984-11-02",1984
"Joseph Zito",9730,"Friday the 13th: The Final Chapter",9.598,2600000,32980880,"Horror|Thriller",551,5.9,"91","1984-04-13",1984
"Richard Fleischer",9610,"Conan the Destroyer",12.871,18000000,31042035,"Adventure|Fantasy|Action",746,6,"103","1984-06-29",1984
"David Lynch",841,"Dune",13.488,40000000,30925690,"Action|Science Fiction|Adventure",1107,6.4,"137","1984-12-14",1984
"John Carpenter",9663,"Starman",8.702,22000000,28744356,"Romance|Science Fiction",396,6.8,"115","1984-12-13",1984
"Nick Castle",11884,"The Last Starfighter",9.609,15000000,28733290,"Adventure|Science Fiction|Action",363,6.5,"101","1984-07-13",1984
"David Lean",15927,"A Passage to India",6.999,8000000,27187653,"Drama|Adventure|History",130,6.9,"163","1984-12-14",1984
"Francis Ford Coppola",2148,"The Cotton Club",8.073,58000000,25928721,"Music|Drama|Crime|Romance",171,6.6,"127","1984-12-14",1984
"Wes Craven",377,"A Nightmare on Elm Street",18.543,1800000,25504513,"Horror",2698,7.3,"91","1984-11-14",1984
"John Hughes",15144,"Sixteen Candles",23.663,6500000,23686027,"Comedy|Romance",1185,6.8,"93","1984-05-04",1984
"Joseph Zito",15379,"Missing in Action",7.779,1500000,22812411,"Action|Adventure|Thriller|War",206,5.5,"101","1984-11-16",1984
"Norman Jewison",26522,"A Soldier's Story",4.732,6000000,21821347,"Drama|Mystery|War|Crime",76,6.7,"101","1984-09-14",1984
