"director","id","original_title","popularity","budget","revenue","genres","vote_count","vote_average","runtime","release_date","year"
"Irvin Kershner",1891,"The Empire Strikes Back",26.873,18000000,538400000,"Adventure|Action|Science Fiction",10484,8.4,"124","1980-05-20",1980
"Richard Lester",8536,"Superman II",12.073,54000000,190458706,"Science Fiction|Action|Adventure",1238,6.6,"127","1980-12-04",1980
"John Landis",525,"The Blues Brothers",16.233,27000000,115229890,"Music|Comedy|Action|Crime",2226,7.7,"133","1980-06-17",1980
"Jerry Zucker",813,"Airplane!",24.051,3500000,83453539,"Comedy",2284,7.3,"88","1980-07-02",1980
"Michael Apted",16769,"Coal Miner's Daughter",9.407,15000000,67182787,"Drama|Music",125,7.2,"125","1980-03-07",1980
"Jamie Uys",8393,"The Gods Must Be Crazy",21.584,5000000,6e+07,"Action|Comedy",491,7.1,"109","1980-09-10",1980
"Sean S. Cunningham",4488,"Friday the 13th",27.101,550000,59754601,"Horror",1403,6.3,"95","1980-05-09",1980
"Randal Kleiser",5689,"The Blue Lagoon",12.23,4500000,58853106,"Romance|Adventure|Drama",931,5.9,"104","1980-07-05",1980
"Stanley Kubrick",694,"The Shining",26.968,19000000,44781695,"Horror|Thriller",9667,8.2,"144","1980-05-22",1980
"Harold Ramis",11977,"Caddyshack",11.7,6000000,39846344,"Comedy",624,6.7,"98","1980-07-25",1980
"Stuart Rosenberg",1623,"Brubaker",11.455,9000000,37121708,"Crime|Drama",209,7.2,"125","1980-06-20",1980
"Brian De Palma",11033,"Dressed to Kill",11.28,6500000,31899000,"Mystery|Thriller|Horror",342,6.8,"105","1980-06-25",1980
"Mike Hodges",3604,"Flash Gordon",9.286,35000000,27107960,"Science Fiction",449,6.1,"111","1980-09-01",1980
"David Lynch",1955,"The Elephant Man",13.158,5000000,26010864,"Drama|History",1647,8.1,"124","1980-10-02",1980
"Martin Scorsese",1578,"Raging Bull",17.081,18000000,2.3e+07,"Drama",2059,7.9,"129","1980-11-14",1980
"Paul Schrader",2768,"American Gigolo",9.457,4800000,22743674,"Crime|Drama|Romance|Thriller",289,6,"117","1980-02-08",1980
"Robert Greenwald",15668,"Xanadu",8.778,20000000,22471595,"Fantasy|Music|Romance|Science Fiction",106,5.4,"96","1980-08-08",1980
"John Carpenter",790,"The Fog",9.872,1000000,21378361,"Horror",658,6.6,"89","1980-02-08",1980
"Ken Russell",11542,"Altered States",9.349,15000000,19853892,"Horror|Science Fiction|Thriller",308,6.7,"102","1980-12-25",1980
"Don Siegel",49375,"Rough Cut",3.418,14000000,16656125,"Adventure|Comedy|Crime|Mystery|Romance",15,5.9,"112","1980-06-19",1980
